path,type,spacing,unit
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.5284866346835932,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.5284866346835932,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.245564218143673,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.245564218143673,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.5893688819903937,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.6713181874035457,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.5893688819903937,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.8661469782162803,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.6713181874035457,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.8661469782162803,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.892370469456998,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.7933275185000095,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.892370469456998,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.819998566907723,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.6214300482189479,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.7933275185000095,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.819998566907723,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.8405416373962438,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.6214300482189479,$\mu$m
data/surface/Oct_Image 4_RAW_ch00-3.tif,surface,1.8405416373962438,$\mu$m
