path,type,spacing,unit
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.120132317495002,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.7388772577706306,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.41071698880643,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.120132317495002,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,0.9587922179820538,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.3687032904692118,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.6274297123546895,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.5643781939782337,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.7388772577706306,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,0.9587922179820538,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.6074604933596548,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.7622951455253988,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.41071698880643,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.3687032904692118,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.1973236059902124,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.41071698880643,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.1973236059902124,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.2930971976154695,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.2930971976154695,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.3168956094086686,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.9175844359641077,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.6274297123546895,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.6074604933596548,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.3458213156813945,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.0479360314578499,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.5355244802386772,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.1625806445623146,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.2930971976154695,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.5643781939782337,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.41071698880643,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.3458213156813945,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.3687032904692118,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.4071901908168865,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.7622951455253988,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.0479360314578499,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,0.9678193781231206,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.138829975696083,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.5355244802386772,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,0.9678193781231206,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,0.6556116918603773,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.861037075791815,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.6456477766854487,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.1625806445623146,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.138829975696083,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,0.6556116918603773,$\mu$m
data/surface/Oct_Image 7_RAW_ch00-1.tif,surface,1.2055953700197413,$\mu$m
